state,region
WA,West
OR,West
CA,West
AK,West
HI,West
MT,West
ID,West
NV,West
AZ,West
UT,West
NM,West
CO,West
WY,West
ND,Midwest
SD,Midwest
NE,Midwest
KS,Midwest
MO,Midwest
IA,Midwest
MN,Midwest
WI,Midwest
MI,Midwest
IL,Midwest
IN,Midwest
OH,Midwest
TX,South
OK,South
LA,South
AR,South
KY,South
TN,South
MS,South
AL,South
FL,South
GA,South
SC,South
NC,South
WV,South
DE,South
MD,South
VA,South
PA,Northeast
NY,Northeast
NJ,Northeast
CT,Northeast
RI,Northeast
MA,Northeast
ME,Northeast
NH,Northeast
VT,Northeast
,